paragraph,label
"1.4. Amennyiben a Szolgáltatással kapcsolatos valamely kérdést az adott Ügyfélszerződés, az ÁSZF vagy a Hirdetmény nem szabályoz, a Bank mindenkor hatályos Üzletszabályzata, valamint a Magyarország jogszabályainak – elsősorban a Hpt., a Pft. és az MNB rendelet – vonatkozó rendelkezései irányadók. Amennyiben a Bank valamely, az ÁSZF hatálya alá eső Szolgáltatás nyújtása során a Magyar Posta Zrt. szolgáltatását veszi igénybe, vagy közvetíti, e vonatkozásban a Magyar Posta Zrt. megfelelő szerződési feltételei (üzletszabályzata, egyéb szabályzatai) is irányadónak tekintendők.",1
"e) a Hitelfevevő lakóhelye,",4
"9.2 A Libri Könyvkereskedelmi Kft. fenntartja magának a jogot, hogy egyedi, különleges megjelenéseknél egyedi gyártási határidőt állapítson meg és ezzel kapcsolatban egyedi árképzést alkalmazzon. A Libri Könyvkereskedelmi Kft. a Megbízóval történt egyeztetést követően speciális hirdetések esetén alvállalkozói díjat (fejlesztési, tartalom-előállítási, gyártási díj, stb.) számlázhat ki a Megbízó felé, amely a hirdetési díjon felül, nettó értékben, az ÁFA mértékével növelten értendő. A Felek ebben az esetben vagy a hirdetési szerződésben, vagy külön szerződésben rendelkeznek a megállapodás feltételeiről.",2
"8. A BKK Zrt. jogosult az Alkalmazást újabb funkciókkal vagy lehetőségekkel bővíteni, és az Alkalmazás működését felfüggeszteni vagy azt teljesen megszüntetni.",4
1.4. Az általános szerződési feltételek alkalmazása,4
"7.5 Ön nem használhatja fel kereskedelmi célokra a Szolgáltatásokban rendelkezésre bocsátott információkat, és nem használhatja a Szolgáltatásokat más vállalkozás javára, kivéve, ha ezt előzetesen kifejezetten engedélyeztük. Ön nem keresheti meg a felhasználókat, nem hirdethet számukra, és nem léphet kapcsolatba velük semmilyen formában munkavállalás, szerződéskötés vagy bármilyen más, a Temun keresztül nyújtott Szolgáltatásokhoz nem kapcsolódó céllal. Ha Ön megsérti ezt a rendelkezést, fenntartjuk a jogot, hogy saját belátásunk szerint megtagadjuk a szolgáltatást, fiókokat szüntessünk meg és/vagy vásárlási tranzakciókat töröljünk.",2
"Az Eladó köteles gondoskodni a Termék megfelelő belső és külső csomagolásáról, lezárásáról oly módon, hogy a csomagot, illetve annak tartalmát a csomagolás - annak jellegzetességeire is figyelemmel - a fuvarozás és a gépi rakodás során is megóvja a kinyílástól és a sérüléstől, illetve, hogy az megfeleljen a szállítási szolgáltatók általános szerződési feltételeiben foglaltaknak.",4
"10.7.  A Szerződő felek megállapodnak abban, hogy a vitás kérdéseket békés úton
rendezik. Szerződő felek az esetlegesen felmerülő jogvitás kérdések tekintetében pertárgy értéktől függően alávetik magukat a Fővárosi Törvényszék  kizárólagos
illetékességének. Felek kikötik, hogy mindennemű vita esetén a közösen
kiválasztott minőségvizsgáló intézet, szakértő szakvéleményét elfogadják és a
szakvéleményben foglaltak szerint járnak el.",4
8.3. A Szolgáltató a Fogyasztó nála bejelentett szavatossági vagy jótállási igényéről jegyzőkönyvet köteles felvenni.,3
"Az Előfizetői Szerződés fennállása alatt, vagy annak megszűnését követő 1 éves elévülési időn belül, az Előfizető
– az Üzleti Előfizető kivételével – évente egyszer ingyenesen kérheti az Előfizetői Szerződés általa megjelölt
időpontjában hatályos tartalmáról szóló dokumentum átadását. E dokumentumot a Szolgáltató a kérelem
beérkezésétől számított 8 napon belül az Előfizető kifejezett rendelkezése hiányában, mint a Felek megegyezése
szerinti tartós adathordozón, elektronikus levélben küldi meg, Előfizető ettől eltérő rendelkezése esetén pedig
papíron, nyomtatott formában köteles az Előfizető részére igazolható módon átadni vagy megküldeni. A jelen
pontban meghatározott dokumentum évente többszöri igénylésének díját az ÁSZF 2. számú melléklete
tartalmazza.",3
"7.10. Mivel az internet nyitott és nem tekinthető biztonságos hálózatnak, ezért Felhasználó tudomásul veszi, hogy az azon továbbított adatok megsemmisülése, késedelmes megérkezése vagy bármely más egyéb hiba folytán keletkező károk tekintetében az Üzemeltető kártérítési felelősségét kizárja.",4
"Amennyiben a hajóbérlet a meghatározott hajótípusra a charter cég hibájából nem valósulna meg, de az ugyanolyan, vagy magasabb méretű, ill. kategóriájú hajót biztosít, megbízó köteles azt elfogadni.",3
"6.2.8. Amennyiben Felhasználó hirdető a módosított hirdetési csomagok és díjak mellett nem kívánja tovább igénybe venni Üzemeltető szolgáltatását, akkor a módosítás tárgyában megküldött értesítés kézhezvételét követő 15 napon belül – értesítés elmaradása esetén pedig a tudomásszerzéstől számított 15 napon belül – azonnali hatályú felmondásra jogosult.",3
"Beérkezési határidő: az a nap, amikor a számla ellenértékét a Szolgáltató számláján jóváírják (a pénzforgalom lebonyolításáról szóló 35/2017. (XII.14) MNB rendelet 12. § (1) bekezdése értelmében a fizetési megbízás azon a napon teljesül, amikor a pénzösszeget a kedvezményezett fizetési számláján jóváírják.)",3
"Békéltető testületi eljárás - Amennyiben az Ön fogyasztói panaszát elutasítjuk, úgy Ön jogosult az Ön lakóhelye, tartózkodási helye vagy székhelye szerinti illetékes, vagy az Ön által a kérelemben megjelölt  fordulni. A békéltető testület eljárása megindításának feltétele, hogy a fogyasztó az érintett vállalkozással közvetlenül megkísérelje a vitás ügy rendezését.",2
"Hitelesített Telekom fiók: a Szolgáltató lehetőséget biztosít az Előfizető számára, hogy a személyes adatainak ellenőrzését magában foglaló beazonosítást követően megadja, hogy mely belépési azonosítóval rendelkező Telekom Fiókot használja kizárólagos jelleggel. Az adott Telekom fiók kizárólagos használatát Előfizető a Telekom fiók valamely belépési azonosítójára a Szolgáltató által küldött egyszer használatos jelszó megadásával tudja igazolni Szolgáltató felé. A beazonosítás személyes ügyintézéssel, illetve online Digitális Állampolgár (DÁP) mobilalkalmazás igénybevételével lehetséges.",4
"2.4.  Szolgáltató fenntart magának minden jogot a webshop weboldal, annak bármely részlete és az azon megjelenő tartalmak, valamint a weboldal terjesztésének tekintetében. Tilos a webshopon megjelenő tartalmak vagy azok bármely részletének letöltése, elektronikus tárolása, feldolgozása és értékesítése a Szolgáltató írásos hozzájárulása nélkül.",4
"Nyilvánvalóan hibás árnak minősül a fentieken kívül az az ár, melynek hibás voltát a fogyasztó az adott helyzetben általában elvárható figyelmességgel és körültekintéssel maga is felismerhetett, figyelembe véve a tisztességtelen kereskedelmi gyakorlat tilalmáról szóló 2008. évi XLVII. törvény 4. § (1) bekezdésében foglalt fogyasztói magatartást.",3
"A vasúti társaság a panaszok, észrevételek intézése során az érintettek személyes adatának kezelését a hatályos törvényi rendelkezésekben – különösen az Európai Unió 2016/679. számú általános adatvédelmi rendeletében, az információs önrendelkezési jogról és az információszabadságról szóló 2011. évi CXII. törvényben és a fogyasztóvédelemről szóló 1997. évi CLV. törvényben – és a személyes adatok védelmére vonatkozó belső szabályzataiban foglaltaknak megfelelően végzi.",1
"A Szolgáltató jelen ÁSZF-ben foglalt Szolgáltatásai tekintetében olyan hálózatkezelési rendszert alkalmaz, vagy
alkalmazhat, amely a szűkös kapacitású erőforrások – a Szolgáltató által a Helyhez kötött szolgáltatás nyújtása
céljából igénybe vett elektronikus hírközlési hálózat biztonságának fenntartása és az Előfizetők közössége
érdekeinek elsődlegességén alapuló – hatékony kihasználását teszi lehetővé.",3
"A fogyasztó kellékszavatossági, termékszavatossági vagy jótállási igényét az Eladó nem az Fgytv. fogyasztói panasz kezelésére vonatkozó szabályai, hanem külön jogszabályok szerint köteles intézni.",3
"11.21.  Ha a Megrendelő munkabiztonsági
szakembere munkabiztonsági, tűzvédelmi, illetőleg környezetvédelmi
mulasztásokat, hiányosságokat észlel a Vállalkozó tevékenységi körén belül, az
alábbi intézkedésekre jogosultak:
a) A fennálló veszélyforrások azonnali, illetve megadott határidőn belüli
megszüntetésére utasíthatja a Vállalkozó kijelölt munkahelyi vezetőjét.
Amennyiben a Vállalkozó a megadott határidőn belül a hiányosságokat nem
szünteti meg, akkor a fennálló hiányosság  súlyosságától függően a Megrendelő
jogosult munkavédelmi bírság kiszabására, illetve a Vállalkozó munkaterületről
való kitiltására.
b) Amennyiben a munkavégzés során súlyos és közvetlen veszélyt észlel, jogosult
a végzett tevékenység azonnali felfüggesztésére és az elkövetés súlyosságától
függően a következő eljárások alkalmazására: figyelmeztetés, munkavédelmi
bírság kiszabása, azonnali kitiltás a munkaterületről.",3
"Amennyiben a könyvelt postai küldemény kézbesítésére kézbesítést lehetővé tevő automatizált eszközből történő átvétellel kerül sor, a címzett vagy az egyéb jogosult átvevő átvételi jogosultságát az átvevő által az átvétellel egyidejűleg megadott azonosító kóddal köteles igazolni. Ennek megfelelően igazolt kézbesítésnek minősül a Címzett rendelkezései alapján a Küldemény DPD Csomagautomatából történő átvétele a Címzett részére egyedileg generált kód megadásával. ",1
"A Páciens a szolgáltatás igénybevételéhez köteles a Szolgáltató rendelkezésére bocsátania, az egyedi szolgáltatási szerződésben feltüntetni legalább az alábbi adatokat: családi és utónév, születési név, születési hely és idő, anyja neve, TAJ száma, lakcím, telefonszám, e-mail cím. A szolgáltatási szerződés megkötéséhez, valamint a Páciens személyazonosságának megállapítása céljából a Páciens hozzájárulását adja ahhoz, hogy azonosítása érdekében Szolgáltató személyazonosító igazolványát (személyi igazolvány, útlevél vagy jogosítvány) és lakcímkártyáját elkérje, szükség esetén azokról másolatot készítsen.",3
"27. A „Szállítás & Fizetés” elnevezésű felületen, (ahová a Kosár oldalon a „Folytatás” gombra kattintva juthat a Fogyasztó) a Fogyasztó kiválaszthatja az Alza által felkínált szállítási módok közül a számára leginkább megfelelőt. Ezen a felületen a Fogyasztó tájékoztatást kap a kiválasztani tervezett szállítási módhoz tartozó várható szállítási határidőről és a szállítás díjáról is.",4
Idegen nyelvű okiratok esetén azok hiteles - az Országos Fordító- és Fordításhitelesítő Iroda (OFFI) által készített - fordítása is szükséges.,2
"9.5. A felek közötti jogvita rendezéséhez az online vitarendezési platform is felhasználható, mely az alábbi linken érhető el: https://ec.europa.eu/consumers/odr/.",3
"▪ Amennyiben az adott országgal Magyarország kétoldalú polgári jogsegély egyezményt kötött, úgy az adott országban kiállított közokirat további hitelesítés nélkül elfogadható,",2
"A felhasználói fiók a Vatera felületen a Belépés gombra kattintva, a bejelentkezési adatok megadásával érhető el. A Felhasználó felhasználói fiókjába belépve a Személyes menü kiválasztásával adhatja meg, illetve szerkesztheti személyes és kiegészítő adatait, jelszavát, illetve ezen keresztül érheti el az egyéb fiókbeállításait.",4
"A Szerződés teljesítése során a felek kifejezetten kizárják a Vállalkozó általános szerződési feltételeinek, vagy annak egyes pontjainak alkalmazását. ",1
"A műholdas műsorterjesztés előfizetői szolgáltatásra vonatkozó részletes leírást, a rá vonatkozó további
információkat, így különösen a szolgáltatás díjcsomagjaiba tartozó médiaszolgáltatások, és a kiegészítő
médiaszolgáltatások felsorolását, valamint a szolgáltatás igénybevételének korlátait, az igénybevételt befolyásoló
egyéb tényezőket a jelen ÁSZF 1. számú melléklete tartalmazza.",3
"7.7 Felhívjuk figyelmét, hogy a 30 napos visszatérítési jog nem vonatkozik a szén-dioxid kibocsátás ellensúlyozására vonatkozó hozzájárulásra, ha Ön a szén-dioxid-kibocsátásának ellensúlyozására vonatkozó lehetőséget választotta a megrendeléséhez. Az Ön törvényes elállási joga változatlanul fennmarad.",0
"4.1. A Hitelkártya újragyártását lehet kérni, amennyiben:",3
6. A teljesítés határideje,4
"Értékegyeztetéssel történő csere során a visszacserélni kívánt áruért kifizetett összeget Szolgáltató beszámítja a cserébe kiválasztott termék árába. Ha a kiválasztott új áru drágább, a különbözet Szolgáltató boltjaiban elfogadott fizetési módok és eszközök bármelyikével kiegyenlíthető. Ha a visszacserélni kívánt áru a drágább, akkor a fennmaradó összeget Szolgáltató új Libri ajándékkártyára tölti fel, melyről az összeg a feltöltéstől számított egy éven belül használható fel.",3
"A Küldemény felvétele előzetes (a feladást megelőző nap 16.00-ig átadott) megrendelést követően a DPD futárjai közreműködésével Regular Pickup esetén az Ügyfél székhelyén vagy telephelyén előre meghatározott napon és idősávban, illetve Collection Request esetén az Ügyfél által megjelölt helyen történik munkanapokon 8-17 óra között.  A DPD egyoldalú döntése alapján kerül meghatározásra, hogy pontosan mely időpontban történik meg az áru felvétele az adott napon. A DPD természetesen minden esetben törekszik az ügyféligények figyelembevételére.  ",4
"Megbízó a kauciót a hajóátvétel helyszínén helyezi letétbe készpénzzel vagy hitelkártyával. Megbízó a kaucióról kapott átvételi elismervényt megőrzi, a kauciót ennek bemutatásával kapja vissza. A hajóban okozott károk, felszerelés elvesztése, stb. esetén azok értéke, a javítás költségei, a szállítás költségei és az esetleges kiesett charternapok költsége a kaucióból kerül levonásra.",3
23. A Webáruházban történő vásárlás menetéről szóló egyszerűbb útmutató (Hogyan vásárolj az Alza.hu-n?) itt olvasható.,4
• számla sorszámát,4
"Csomagajánlatban történő vásárlás esetén lehetőség van egy Eladótól egy Tranzakció során több, külön hirdetésben megjelenített fix áras Termék megvásárlására, valamint egy Eladótól egy Tranzakció során azonos hirdetésben megjelenített több fix áras Termék megvásárlására, a Termékek kosárba helyezését követően, a Csomagajánlatot kérek gombra kattintással. A Csomagajánlatra vonatkozó igény Vevő általi elküldésével vételi ajánlat keletkezik, amely ajánlatot az Eladó a Vatera fiókjában a Csomagajánlat menüpontban tud elutasítani vagy elfogadni. Az ajánlat elfogadására 30 nap áll rendelkezésre, az ajánlat elfogadása esetén az Eladó a csomagra vonatkozóan köteles megadni a Vatera Szállításhoz szükséges méret és súly adatokat. A szállítási adatok megadása alapján a Szolgáltató megjeleníti az Eladó részére azokat a Vatera Szállítási módokat, amelyek elérhetőek az Csomagajánlat tárgyát képező csomagra, amelyből az Eladó által kiválasztott Vatera Szállítási módok kerülnek kiajánlásra a Vevő részére. ",2
"Felhasználó: az a természetes személy, jogi személy, vagy szervezet, aki vagy amely a Szolgáltató által nyújtott szolgáltatások valamelyikét igénybe veszi a Webáruházban, így különösen terméket vesz, rendel, kap, használ, igénybe vesz, vagy a termékkel kapcsolatos kereskedelmi kommunikáció, ajánlat címzettje (továbbiakban: „Felhasználó”).",3
• páciens nevét,4
Termékszavatossági igényét kizárólag az ingó dolog gyártójával vagy forgalmazójával szemben gyakorolhatja. A termék hibáját termékszavatossági igény érvényesítése esetén Önnek kell bizonyítania.,3
"7.5 A váratlan meghibásodásról, a meghibásodás okáról és a hiba kijavításának kezdetéről a Felhasználó és a BKM NONPROFIT Zrt. egymást nyolc (8) órán belül köteles tájékoztatni és a hibát a műszakilag lehetséges legrövidebb időn belül megszüntetni.",4
"Szolgáltató készpénzes, bankkártyás vagy átutalásos fizetési lehetőséget biztosít. Az ellátásra jelentkező Páciens az ellátási folyamatot magára nézve kötelezőnek ismeri el. A vizsgálatot, beavatkozást követően a helyszínen van lehetőség a szolgáltatás ellenértékét kifizetni a kapott számla ellenében készpénzben.",4
18,4
"9.6 A Felhasználó kérésére a BKM NONPROFIT Zrt. az elszámolás céljára szolgáló mérő és annak beépítése megfelelőségét mérésügyi felülvizsgálatra feljogosított szervvel köteles megvizsgáltatni. Ha a vizsgálat eredménye szerint a beépítés vagy a mérő nem felelt meg az előírásoknak, a vizsgálat és a mérőcsere minden költsége a BKM NONPROFIT Zrt.-t terheli, ellenkező esetben a BKM NONPROFIT Zrt. jogosult a vizsgálat költségét a Felhasználóra áthárítani.",3
Milyen bizonyítási szabály érvényesül termékszavatossági igény érvényesítése esetén?,4
"c.h) képesítési követelmények szerinti képzési idő (félévek száma),",3
3.2. A megbízások teljesítése,4
"Fizetés Google Pay-el: A fizetés közvetlenül a Google-fiókon keresztül történik. A megrendelés leadásakor átirányítjuk a Google-hez, hogy engedélyezze a megrendelés értékének kifizetését. Amint értesülünk az engedélyezésről, a szállítás megkezdődik - az egyes termékeknél feltüntetett szállítási időtől függően. A Google Pay-nél letétbe helyezett fizetési módtól függően az engedélyezést vagy a szállítást követően azonnal megterheljük a ténylegesen számlázott összeggel, minden kedvezményt, kupont stb. levonva.",3
"1.1.1. A Weboldalon történő Megrendeléshez a Felhasználónak/Ügyfélnek a Weboldalon Saját fiókot kell létrehoznia neve, e-mail címe és jelszó megadásával.",4
"A jelen ÁSZF hatálya alá tartozó szolgáltatásokra és díjcsomagokra – kivéve a 3/d mellékletekben meghatározott szolgláltatásokat és díjcsomagokat, az ebben a mellékletben meghatározott feltételekkel - kizárólag egyéni előfizetők köthetnek előfizetői szerződést. Egyéni előfizető az a természetes személy előfizető, aki úgy nyilatkozott, hogy gazdasági tevékenységi körén kívül veszi igénybe az előfizetői szolgáltatást.",4
"3/2. A terméklapon meg kell jeleníteni a feltöltött Termék, vagy szolgáltatás pontos, a valósággal megegyező paramétereit és tulajdonságait.",4
11.4 A Díjfizető személyének változását a régi és az új Díjfizető a változástól számított tizenöt (15) napon belül köteles a BKM NONPROFIT Zrt-nek írásban bejelenteni és ezzel egyidejűleg erről a Felhasználó képviselőjét is értesíteni. A Díjfizetők személyében bekövetkező változások nem érintik a Felhasználó és a BKM NONPROFIT Zrt. között létrejött Szerződés érvényességét. A Díjfizető a változás időpontjától jogosult a Szerződésben foglaltak szerint a szolgáltatás igénybevételére és ugyanezen időponttól köteles a távhőszolgáltás díjainak megfizetésére.,2
"A Szolgáltató a szolgáltatás nyújtásához szükséges engedélyekkel, valamint a vonatkozó  egészségügyi tárgyú jogszabályokban meghatározott személyi és tárgyi feltételekkel rendelkezik. A Szolgáltató a szolgáltatást az ellátásban résztvevőktől elvárható gondossággal, valamint a szakmai és etikai szabályok, illetve irányelvek, valamint a hatályos jogszabályok betartásával nyújtja.",2
"• Regisztráció: a Felhasználó az Alkalmazáson keresztül önkiszolgáló módon a jelen ÁSZF szerinti adatainak megadásával regisztrálja magát az Alkalmazásban, amely az Alkalmazáson keresztül nyújtott, egyes Szolgáltatások igénybevételének a feltétele.",2
"8.3.2. Amennyiben Vállalkozó  a meghibásodás Megrendelő  részéről történő
írásos bejelentésével  (ami lehet email, postai levél, telekommunikáció )
egyidejűleg kitűzött helyszíni bejáráson nem jelenik meg, vagy a helyszíni
bejáráson megjelenik, de a javítási munkákat nem kezdi meg 5 munkanapon,
illetve a Megrendelővel  történő külön megállapodás szerinti határidőn belül,
vagy a javítási munkát megkezdi, de azt felfüggeszti, vagy nem megfelelő
minőségben végzi el, úgy Megrendelő  a Vállalkozó  írásban történő
értes ítését követően a meghibásodás más vállalkozóval történő kijavítására
intézkedhet a visszatartott garanciális összeg ill. bankgarancia terhére.",3
"81. Az Alza főszabály szerint nem köt folyamatos teljesítésű szerződéseket. Amennyiben az Alza folyamatos teljesítésű szerződést kötne, úgy a Fogyasztó megfelelő információt kap a szerződés legrövidebb időtartamáról és az adott számlázási időszakban (ami állandó ár esetén mindig egy hónapos időszak) elszámolásra kerülő árról (vagy az ár meghatározásának módszeréről) a szerződés megkötése előtt. Ilyen szolgáltatásnak minősül például az Alza Plus szolgáltatás, melynek lényeges feltételeiről az https://www.alza.hu/alzaplus oldalon tájékoztatjuk Fogyasztóinkat.",1
"3.3.4.2. Rendes felmondás esetén a felmondási idő mindkét fél számára 30 nap, mivel a Számlatulajdonosa Pft. alapján nem minősül mikrovállalkozásnak.",3
Eljárás hibás ár esetén - Nyilvánvalóan hibásan feltüntetett árnak minősül:,4
"1.7. A „Posta banki szolgáltatások” elnevezés alatt korábbiakban értékesített Posta betétekre Hűség Betétek elnevezés mellett, a Számlavezetési Keretszerződésekre (Postai Folyószámla / Postai Elektronikus Számlacsomag / Postai Nyugdíjszámla szerződés keretében nyújtott számlavezetési szolgáltatásokra) Erste Hűség elnevezésmellett 2014. április 2-tól a jelen Erste Lakossági Banki Szolgáltatások ÁSZF vonatkozik.",4
"1.9 A Felhasználó lemond szerzői jogainak vagyoni részéről a Felhasználói Tartalommal kapcsolatban, tehát anyagi igényt nem támaszt az Üzemeltető felé, valamint az Üzemeltetőnek korlátlan (terjesztés, többszörözés, közvetítés, átdolgozás, nyilvános előadás) felhasználási jogot ad.",1
"Felhasználó a Megrendelés (III.1.b.) és az Adatbeviteli hibáknak a szerződéses nyilatkozat elküldését megelőzően történő azonosításához és kijavításához biztosított eszközökkel kapcsolatos tájékoztatás (III.1.d.) pontban foglaltak szerint tudja megadni, ellenőrizni, pontosítani és módosítani rendelése adatait, így a számla kötelező elemét képező adószámát is.",1
"2.2.12.8. A Bank a regisztráció időpontjától számítva évente egyeztet a Számlatulajdonossal vagy az általa az egyeztetés lefolytatására felhatalmazott Rendelkezővel a fizetési számlához rendelt másodlagos számlaazonosítók érvényességéről akként, hogy a másodlagos számlaazonosító hozzárendelésére vonatkozó korábbi bejelentés megerősítését a bejelentés átvétele napjának számánál fogva megfelelő napig beszerzi. A Bank az évenkénti egyeztetésre előírt határidő lejártát legalább 30 nappal megelőzően értesíti a Számlatulajdonost adategyeztetésről, valamint az adategyeztetés elmaradásának a következményéről.",2
"3.2 Ön felelős minden olyan tevékenységért, amely az Ön Fiókjához kapcsolható. Ennélfogva meg kell védenie Fiókja és jelszava biztonságát, és nem szabad azokat harmadik féllel megosztania. Haladéktalanul értesítenie kell bennünket, ha a Fiókját jogosulatlanul használják vagy biztonsági visszaélés történt a Fiókjával.",4
"1.23 A Felhasználó kijelenti, hogy a Szolgáltatást a jelen ÁSZF rendelkezéseinek megfelelően veszi igénybe, a Szolgáltatás igénybevétele során megadott adatai a valóságnak megfelelnek. Az Üzemeltető kizárja felelősségét a Szolgáltatás igénybevétele során megadott téves, hibás vagy hamis adatok vagy e-mail cím megadásából eredő kárért.",3
"58. Az Alza bemutatótermeiben kötött szerződés ráutaló magatartással jön létre, a vételárnak a Fogyasztó által az Alza részére történő megfizetésével.",3
a.e) a Hitelfevevő lakóhelye,4
"9.3. Amennyiben a Szolgáltató a Szabályzat alapján megillető jogát nem gyakorolja, a joggyakorlás elmulasztása nem tekinthető az adott jogról való lemondásnak. Bármilyen jogról történő lemondás csak az erre vonatkozó kifejezett írásbeli nyilatkozat esetén érvényes. Az, hogy a Szolgáltató egy alkalommal nem ragaszkodik szigorúan a Szabályzat valamely lényegi feltételéhez, vagy kikötéséhez, nem jelenti azt, hogy lemond arról, hogy a későbbiekben ragaszkodjon az adott feltétel vagy kikötés szigorú betartásához.",1
"8.4. A Megrendelő  jogosult a felmerült jóteljesítési garancia összegét meghaladó
kárát a Vállalkozóval  szemben érvényesíteni.",3
"2.3. Felhasználó, amennyiben belép a Szolgáltató által üzemeltetett weboldalra, vagy annak tartalmát bármilyen módon olvassa – akkor is, ha nem regisztrált felhasználója a weboldalnak, a Szabályzatban foglaltakat magára nézve kötelezőnek ismeri el. Amennyiben a Felhasználó nem fogadja el a feltételeket, nem jogosult a weboldal tartalmának megtekintésére.",2
"2.3 Az Adminisztrátorok a Felhasználói Tartalmat részben vagy egészében eltávolíthatják, módosíthatják.",1
"11.6 A Felhasználó jogosult a 6.2 pontban meghatározott hőteljesítmény igényét a Távhőszolgáltatóhoz az év szeptember 30. napjáig beérkező, cégszerűen aláírt nyilatkozattal a következő naptári évre szóló hatállyal megváltoztatni. Amennyiben ezen határidőig a Felhasználó erre vonatkozó nyilatkozatot nem tesz, a következő naptári évre a lekötött hőmenyiség változatlan.",4
"2.2.1. A Számlatulajdonos Bankszámlája felett – jogszabályban foglalt esetek kivételével – szabadon jogosult rendelkezni; a Kiskorú Számlatulajdonos a Bankszámlája felett önállóan rendelkezni a bankkártyájával végzett tranzakciók révén a bankkártyához beállított limitek erejéig, valamint a Gránit Family és NetBank szolgáltatáson keresztül a mindenkor hatályos vonatkozó Hirdetményben meghatározott tranzakciók vonatkozásában jogosult. Kiskorú Számlatulajdonos esetén annak Törvényes képviselője a Pénzforgalmi Keretszerződés aláírásával járul hozzá a Kiskorú Számlatulajdonos Bankszámlája felett a Törvényes képviselő – a jogszabályban foglalt esetek kivételével – szabadon, a számla egyenlegének erejéig rendelkezhet. A két néven vezetett Bankszámla esetén a Számlatulajdonosok önállóan jogosultak a Bankszámla feletti rendelkezésre. Jogi személy a Pénzforgalmi számla feletti rendelkezéséhez a nyilvántartásba bejegyzett, illetőleg bejegyzésre bejelentett teljes vagy rövidített nevének (cégnevének) betű szerinti használata, valamint a Számlatulajdonos által a Bankszámla feletti rendelkezésre bejelentett személy vagy személyek aláírása szükséges. Az adózás rendjéről szóló 2003. évi XCII. törvény szerinti egyéb szervezet a létesítő okiratában, ennek hiányában a Pénzforgalmi Keretszerződésben meghatározott módon rendelkezhet Bankszámlája felett.",2
d) a Számlatulajdonos jogutód nélküli megszűnésével.,4
"A vállalkozás a fogyasztónak visszajáró összeget a fogyasztó által igénybe vett fizetési móddal megegyező módon téríti vissza. A fogyasztó kifejezett beleegyezése alapján az Eladó a visszatérítésre más fizetési módot is alkalmazhat, de a fogyasztót ebből adódóan semmilyen többletdíj nem terhelheti.",3
"A vasúti társaság által közlekedtetett vonatokra a vasúti társaság által üzemeltetett állomási és megállóhelyi pénztárakban (továbbiakban: pénztár), menetjegyirodákban, valamint szerződéses partnereknél, utazási irodákban, automatáknál vagy elektronikus csatornán (interneten keresztül) lehet menetjegyet- és/vagy felárat vásárolni. A vasúti társaság a vasútállomáson és megállóhelyen hirdetmény útján a jegykiadás helyét a vasútállomástól, megállóhelytől távolabb is meghatározhatja. A menetjegy vásárlási lehetőségekről a vasúti társaság a honlapján is tájékoztatást nyújt. A vasúti társaság által a közszolgáltatási menetrendben meghirdetett vonatokra a vasúti társaság a pénztárban, jegykiadó automatákból, illetve a vonat fedélzetén köteles menetjegyet értékesíteni. Elektronikus csatornán és jegykiadó automatán díjmentes menetjegy önállóan nem vásárolható.",1
47.3. (hatályon kívül helyezve),4
"7.2 Tiszteletben tartjuk mások szellemi tulajdonjogait, valamint fenntartjuk a jogot az olyan Tartalom törlésére vagy letiltására, amely állítólagosan sérti más személyek szellemi tulajdonjogait, továbbá az állítólagos jogsértők fiókjainak megszüntetésére. A potenciálisan jogsértő tartalmak bejelentésének módját lásd a Szellemi tulajdonjogra vonatkozó szabályzatunkban.",4
"A Vállalkozó felelősségi, helytállási kötelezettsége a Ptk. általános szabályai szerint áll fenn. ",4
A Szolgáltató csak a neki felróható szándékos vagy súlyosan gondatlan hibákkal okozott károkért felel. A felelősség mértéke nem haladhatja meg a vásárlási tranzakció értékét.,2
"3.1.3 A Megbízónak a megrendelésben nyilatkoznia kell a fizetés módjáról is, elfogadva az alábbi IX. pontban rögzített szabályokat.",4
"2. Jelen Fogyasztói ÁSZF csak a fogyasztónak minősülő vásárlókra vonatkozik. Fogyasztónak minősül a szakmája, önálló foglalkozása vagy üzleti tevékenysége körén kívül eljáró természetes személy. A jelen Fogyasztói ÁSZF IX. Hibás teljesítés fejezete tekintetében – kivéve a IX.2.1 Jogszabályon alapuló, kötelező jótállás alcím rendelkezéseit – Fogyasztó alatt a szakmája, önálló foglalkozása vagy üzleti tevékenysége körén kívül eljáró a kis- és középvállalkozásokról, fejlődésük támogatásáról szóló 2004. évi XXXIV. törvény szerinti mikro- kis- és középvállalkozásokat is érteni kell. Egyebekben a fogyasztónak nem minősülő vásárlókra külön általános szerződési feltételek (a továbbiakban: „Vállalkozói ÁSZF”) vonatkoznak, melyek itt érhetőek el.",1
"A DPD felelős azért a kárért, amely a Küldemény felvételétől annak kézbesítéséig vagy a feladó részére történt visszakézbesítéséig terjedő időben a Küldemény megsemmisüléséből, teljes vagy részleges elvesztéséből vagy megsérüléséből keletkezett.  ",1
